epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,17414.3,0.49009,0.71159,1.10922,0.8768,0.86199,0.92664,0.85642,0.37474,0.48794,0.95135,0.002278,0.002278,0.002278
41,476.345,0.35768,0.54394,1.04093,0.89444,0.84971,0.92727,0.8575,0.36531,0.48237,0.94324,0.00208,0.00208,0.00208
42,885.695,0.35046,0.51421,1.03088,0.88991,0.85722,0.92885,0.86109,0.35951,0.47349,0.9392,0.001882,0.001882,0.001882
43,1291.21,0.34299,0.50098,1.02338,0.8995,0.85164,0.92988,0.86379,0.35294,0.46766,0.93382,0.001684,0.001684,0.001684
44,1714.04,0.33191,0.48359,1.01441,0.89583,0.859,0.93035,0.86446,0.35221,0.46486,0.9333,0.001486,0.001486,0.001486
45,2133.01,0.32632,0.47086,1.00764,0.89638,0.86054,0.93062,0.86593,0.34861,0.46314,0.93034,0.001288,0.001288,0.001288
46,2540.2,0.31994,0.45694,1.00461,0.89806,0.86114,0.93136,0.86776,0.34604,0.46156,0.92675,0.00109,0.00109,0.00109
47,2958.63,0.31705,0.44696,1.00173,0.8976,0.86289,0.9322,0.86884,0.34389,0.45741,0.92442,0.000892,0.000892,0.000892
48,3376.15,0.30949,0.4323,0.99663,0.89576,0.86579,0.93279,0.87,0.34234,0.4539,0.92281,0.000694,0.000694,0.000694
49,3795.98,0.30471,0.42044,0.99083,0.89785,0.86323,0.93326,0.87023,0.34132,0.45199,0.92194,0.000496,0.000496,0.000496
50,4216.75,0.3008,0.41105,0.9897,0.90821,0.85418,0.93411,0.87053,0.34082,0.44973,0.92129,0.000298,0.000298,0.000298
